"DMED514 CPR Pulmonary Midterm - C2016 MEDICINE - 20130405",
"Raw MCQ data for group: 6576|4",

"Question Identifier","Category","Question Type","Correct Response","Weight","Response Data"

"User Identifiers"," "," "," "," ","6600","6601","6602","6603","6604","6605","6606","6607","6608","6609","6610","6611","6612","6613","6614","6615","6616","6617","6618","6619","6620","6621","6622","6623","6624","6625","6626","6627","6628","6629","6630","6631","6632","6633","6634","6635","6636","6637","6638","6639","6640","6641","6642","6643","6644","6645","6646","6647","6648","6649","6650","6651","6652","6653","6654","6655","6656","6657","6658","6659","6660","6661","6662","6663","6664","6665","6666","6667","6668","6669","6670","6671","6672","6673","6674","6675","6676","6677","6678","6679","6680","6681","6682","6683","6684","6685","6686","6687","6688","6689","6690","6691","6692","6693","6694","6695","6696","6697","6698","6699","6700","6701","6702","6703","6704","6705","6706","6707","6708","6709","6710","6711","6712","6713","6714","6715","6716","6717","6718","6719","6720","6721","6722","6724","6725","6726","6727","6728","6729","6730","6731","6732","6733","6734","6735","6736","6737","6738","6739","6740","6741","6742","6743","6744","6745","6746","6747","6748","6749","6750","6751","6752","6753","6754","6755","6756","6757","6758","6759","6760","6761","6762","6763","6764","6765","6766"
"HOMER_QUIZ_1040457","","MULTICHOICE","3","1","3","3","2","3","3","2","2","3","3","2","4","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","3","3","3","2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","2","3","3","3","3","3","3","3","2","3","3","3","3","3","2","3","2","3","3","3","2","3","3","2","2","3","3","3","2","3","3","3","2","2","3","3","3","3","2","3","3","3","3","3","3","2","3","3","3","2","3","3","2","3","2","3","3","3","5","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","2","3","3","3","3","3","3",
"HOMER_QUIZ_1040458","","MULTICHOICE","3","1","3","1","1","3","1","3","1","3","3","3","1","1","3","3","3","3","3","3","3","1","3","1","3","1","1","3","3","3","3","3","1","3","1","1","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","1","3","1","3","3","3","3","1","3","3","1","3","1","3","3","3","3","1","3","1","1","1","1","1","3","1","1","1","3","3","3","3","3","1","3","3","3","3","1","3","3","3","3","3","1","1","3","3","1","3","1","1","3","3","3","1","1","3","3","3","1","3","3","3","1","3","3","3","3","3","1","3","3","3","1","1","3","1","3","1","1","3","1","3","3","1","3","3","3","1","1","3","3","3","1","3","3","3","3",
"HOMER_QUIZ_1040459","","MULTICHOICE","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"HOMER_QUIZ_1040494","","MULTICHOICE","1","1","1","1","1","1","1","2","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","3","1","2","1","1","1","1","1","1","1","2","1","1","1","3","2","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","3","1","2","1","3","1","1","2","1","3","1","1","1","1","1","3","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","2","1","1","1","1","3","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","3","1","1","2","1","1","1","1","1","1",
"HOMER_QUIZ_1040460","","MULTICHOICE","3","1","3","3","3","5","3","3","3","3","5","5","3","3","3","3","3","2","3","3","3","5","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","5","3","5","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","5","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","4","5","5","3","3","3","3","3","3","5","3","3","5","5","3","3","3","3","3","4","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","5","3","3","3","3","3","5","5","5","3","3","5","3","3","3","3","3","3","5","5","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3",
"HOMER_QUIZ_1040495","","MULTICHOICE","1","1","1","1","1","1","1","2","3","1","1","1","1","1","2","1","1","1","2","2","3","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","2","1","1","1","1","1","2","1","2","1","2","1","1","1","3","1","1","2","2","2","1","2","2","2","2","1","1","2","3","1","2","1","2","1","1","1","3","1","2","2","1","2","1","2","2","1","2","1","1","2","1","1","1","1","2","2","1","1","1","2","1","1","2","1","1","1","1","2","1","2","1","2","1","2","1","1","1","1","1","1","2","2","1","2","1","1","1","1","2","2","1","1","1","2","1","1","1","2","1","2","1","1","1","2","2","2","2","2","1","1","3","1","2","1","1","1","1","2","2","1","1","1","1",
"HOMER_QUIZ_1040496","","MULTICHOICE","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","1","1","3","1","1","1","1","1","1","2","1","1","1","1","2","2","2","1","1","2","2","2","1","1","1","3","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","2","1","1","2","1","1","1","3","1","1","1","1","1","1","3","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","3","1","3","1","1","1","3","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1",
"HOMER_QUIZ_1040497","","MULTICHOICE","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","2","3","3","3","2","3","1","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"HOMER_QUIZ_1040501","","MULTICHOICE","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","3","1","1","1","1","2","1","1","1","3","1","1","1","2","3","3","3","1","3","1","3","1","3","1","1","1","1","1","1","2","1","1","1","1","3","1","3","1","1","1","1","1","3","1","1","3","1","1","3","1","3","1","3","1","1","3","1","3","1","3","1","1","1","2","1","1","1","1","1","3","1","1","1","1","2","3","1","3","1","3","1","3","1","1","2","1","1","3","1","1","1","3","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","3","1","1","1","1","1","1","1","3","1","1","1","1","3","1","1","3","1","3","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"HOMER_QUIZ_1040466","","MULTICHOICE","3","1","2","2","3","2","2","2","2","3","3","3","2","3","3","3","4","2","3","3","2","2","2","2","3","3","3","3","2","2","3","2","2","3","3","2","3","2","3","2","2","3","3","2","3","2","3","3","2","3","3","3","3","3","3","3","2","3","2","2","3","2","3","2","3","2","3","2","2","2","3","3","3","2","2","3","3","3","3","2","2","2","2","3","2","2","3","2","3","3","3","3","3","2","3","2","3","3","3","2","2","3","4","3","2","2","2","3","3","2","3","2","3","3","2","1","2","4","2","3","3","2","3","3","3","2","2","2","2","3","3","2","2","2","2","3","3","2","3","3","3","3","3","3","2","3","3","4","3","3","2","2","3","3","2","2","3","3","3","3","3","3","3","2","3","3","3","2",
"HOMER_QUIZ_1040502","","MULTICHOICE","1","1","1","1","1","1","1","1","1","1","1","2","3","2","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","1","1","2","2","1","2","1","1","1","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","1","3","1","1","2","2","1","1","1","3","1","2","1","1","1","2","1","2","1","1","2","1","1","3","1","3","1","1","1","2","1","1","1","2","1","1","1","1","1","3","1","1","1","3","1","1","1","2","1","1","1","2","3","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","1","1","1","1","3","1","1","2","2","2","2","2","1","3","1","1","1","1","1","2","2","2","1","1","1","1","1","3","1","1","1",
"HOMER_QUIZ_1040503","","MULTICHOICE","2","1","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","3","2","2","3","2","2","2","2","2","2","2","2","2","2","2","6","2","2","2","2","3","3","2","2","2","2","2","2","2","2","2","3","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","3","2","3","2","2","2","1","2","2","3","2","2","3","2","2","2","2","3","2","2","3","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","3","2","2","2","3","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","3","3","3","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
"HOMER_QUIZ_1040467","","MULTICHOICE","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"HOMER_QUIZ_1040472","","MULTICHOICE","2","1","2","2","2","3","3","3","2","2","2","2","2","3","2","2","2","2","2","2","3","3","2","2","2","2","2","3","2","2","2","2","3","3","3","3","2","2","3","2","3","2","2","2","2","2","2","3","2","2","2","2","3","2","3","2","2","2","2","2","3","2","2","3","2","2","3","2","3","2","2","3","2","1","2","2","2","2","2","2","3","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","3","3","2","3","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","3","3","2","2","2","3","2","3","2","2","3","2","3","2","1","2","2","2","2","2","3","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2",
"HOMER_QUIZ_1040505","","MULTICHOICE","3","1","3","1","3","3","1","2","2","3","1","2","2","2","3","2","3","2","3","3","3","3","3","2","3","3","3","3","2","3","3","3","1","2","3","3","3","2","2","3","3","3","3","2","2","2","3","3","2","3","3","3","3","3","2","1","3","3","3","2","1","3","3","3","3","3","2","3","3","2","3","3","3","3","2","3","3","2","3","1","2","2","2","3","3","3","3","3","3","3","3","3","3","2","2","3","3","1","3","3","2","3","3","3","3","1","3","2","3","1","1","3","1","3","3","2","3","3","3","2","1","2","3","3","3","3","2","3","2","2","3","3","3","3","3","3","3","2","3","3","3","2","3","3","3","2","1","2","3","2","2","1","3","3","2","3","3","3","3","3","3","2","3","3","2","3","3","3",
"HOMER_QUIZ_1040507","","MULTICHOICE","4","1","4","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4",
"HOMER_QUIZ_1040474","","MULTICHOICE","4","1","4","4","4","4","4","2","4","4","4","4","4","4","3","4","4","4","4","4","4","4","5","4","4","4","4","4","2","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","2","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","5","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","4","2","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",
"HOMER_QUIZ_1040475","","MULTICHOICE","1","1","1","1","1","1","1","2","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","2","1","1","1","1","3","1","1","1","1","1","1","3","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","3","1","1","1","3","1","1","1","1","1","1","1","1","1","3","1","1","1","1","3","1","1","1","1","3","1","1","1","1","3","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","1","3","1","1","1","1","1","1","3","2","1","1",
"HOMER_QUIZ_1040476","","MULTICHOICE","5","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",
"HOMER_QUIZ_1040478","","MULTICHOICE","3","1","3","3","3","3","4","2","4","3","3","3","3","2","3","2","3","3","2","3","3","2","1","3","3","2","3","3","2","3","3","2","2","2","3","3","4","2","3","2","3","2","3","3","3","3","2","3","3","3","3","3","3","3","4","3","3","1","3","4","4","1","3","3","3","3","2","2","3","1","3","3","3","3","3","3","2","3","3","3","3","3","3","3","2","1","3","4","3","3","2","3","3","3","3","3","3","3","4","3","3","3","1","3","3","3","3","2","2","3","3","4","3","3","4","3","3","3","3","2","2","4","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","2","3","3","2","3","3","3","2","2","1","3","3","3","3","3","3","3","3","3","2","3","2","3","3","3","3","2","3","3",
"HOMER_QUIZ_1040508","","MULTICHOICE","1","1","1","2","1","2","2","3","1","2","1","1","1","2","2","2","1","1","2","2","1","1","2","1","2","2","1","2","2","1","2","1","1","1","1","1","2","3","1","1","1","1","1","1","2","2","1","1","2","2","3","3","1","2","1","2","2","3","1","1","1","2","1","3","1","2","2","3","1","2","1","2","2","2","1","1","1","1","1","2","1","2","1","2","2","1","1","1","1","2","1","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","1","1","1","1","2","2","2","1","2","1","1","2","1","1","2","1","1","2","2","2","1","1","2","2","2","1","1","2","1","2","1","1","3","1","2","2","2","1","1","2","1","2","1","1","1","2","1","2","1","1","2","2","1","2",
"HOMER_QUIZ_1040514","","MULTICHOICE","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"HOMER_QUIZ_1040515","","MULTICHOICE","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","3","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","1","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","3","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2",
"HOMER_QUIZ_1040516","","MULTICHOICE","3","1","3","3","4","4","3","4","2","3","4","3","4","3","3","4","3","3","4","3","2","5","3","3","3","3","3","2","3","2","4","2","3","3","3","3","3","4","4","3","3","3","3","4","3","3","3","3","4","4","4","3","3","3","3","3","3","2","4","3","3","4","2","4","3","3","3","4","3","4","4","2","3","2","3","4","3","4","3","4","3","3","2","4","3","3","3","3","2","3","3","4","4","4","3","4","3","3","3","2","4","3","4","4","2","3","2","5","3","4","3","4","2","3","3","3","3","4","3","2","4","3","2","3","3","4","3","4","3","4","2","3","3","3","3","4","2","3","4","3","2","3","4","3","3","2","3","3","3","3","4","3","3","4","3","3","4","2","4","3","2","3","3","3","2","3","3","3",
"HOMER_QUIZ_1040524","","MULTICHOICE","2","1","2","1","2","2","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","4","2","2","2","2","1","1","2","1","2","2","2","4","2","2","2","2","2","1","2","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","4","2","2","2","6","1","2","2","2","2","2","2","2","2","2","2","2","2","2","6","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2",
"HOMER_QUIZ_1040486","","MULTICHOICE","4","1","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","7","4","4","4","6","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",
"HOMER_QUIZ_1040487","","MULTICHOICE","5","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","5","5","5","5","4","4","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","4","5","5","5","5","5","4","5","5","4","5","5","5","5","5","4","5","5","4","5","5","5","5","5","4","4","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","5","5","5","5","4","5","5","5","5","5","5","5","5","4","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","4","5","5","5","4","5","4","5","5","5","5","5","5","5","5","5",
"HOMER_QUIZ_1040488","","MULTICHOICE","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
"HOMER_QUIZ_1040525","","MULTICHOICE","3","1","3","3","3","4","4","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","5","3","3","3","2","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","4","3","3","3","4","3","4","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","4","4","3","3","3","4","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","4","3","3","3","3","3","3","2","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3",
"HOMER_QUIZ_1040499","","MULTICHOICE","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","1","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3",
"HOMER_QUIZ_1040491","","MULTICHOICE","2","1","3","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","5","5","2","2","2","2","2","2","2","1","2","2","2","3","2","2","2","2","2","2","2","2","3","3","2","2","2","2","2","2","5","2","2","3","2","2","2","5","2","2","2","2","2","2","5","1","2","2","2","2","2","2","2","3","2","2","2","1","2","2","2","2","2","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","5","2","1","2","2","2","2","2","2","2","1","2","2","2","2","2","5","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","3","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2",
"HOMER_QUIZ_1040492","","MULTICHOICE","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","5","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","1","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","5","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4",
"HOMER_QUIZ_1040493","","MULTICHOICE","5","1","1","5","5","5","1","5","4","5","5","1","4","5","5","4","5","5","5","5","5","4","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","4","4","5","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","4","5","5","5","5","5","4","5","5","5","2","5","4","4","5","2","5","5","5","5","5","5","5","5","5","2","5","2","4","5","5","5","5","5","2","4","5","5","5","5","5","5","5","4","5","5","5","5","1","5","5","5","5","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",
