"MED521 GI Final Exam - C2015 - 20121005",
"Raw MCQ data for group: 5614|4",

"Question Identifier","Category","Question Type","Correct Response","Weight","Response Data"

"User Identifiers"," "," "," "," ","5049","5718","5719","5720","5722","5723","5724","5725","5726","5728","5729","5730","5731","5732","5733","5734","5735","5736","5737","5738","5739","5741","5742","5744","5746","5748","5749","5750","5751","5752","5753","5754","5755","5756","5757","5759","5761","5762","5763","5764","5765","5766","5767","5768","5770","5771","5772","5774","5775","5776","5778","5779","5780","5781","5782","5783","5784","5787","5789","5790","5791","5792","5793","5794","5797","5799","5800","5801","5802","5803","5805","5806","5807","5808","5809","5810","5811","5812","5814","5816","5817","5818","5819","5820","5821","5822","5823","5825","5826","5827","5829","5830","5833","5834","5836","5837","5838","5839","5841","5843","5845","5846","5848","5850","5851","5852","5853","5854","5855","5856","5857","5858","5859","5860","5861","5862","5863","5864","5865","5866","5868","5869","5870","5871","5872","5874","5875","5876","5878","5880","5882","5883","5884","5885","5886","5889","5891","5892","5893","5894","5895","5896","5897","5898","5899","5900","5901","5902","5904","5915","5917","5918","5919","5920","5921","5922","5923","5924","5925","5926","5927","5928","5929","5930","5931"
"HOMER_QUIZ_1036976","","MULTICHOICE","4","1","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","1","4","4","1","4","4","4","4","4","1","4","1","4","1","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","1","1","4","4","2","4","4","4","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","2","4","4","4","4","4","4","4","4","1","4","4","4","4","4","4","1","4","1","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","3","4","4","4","4","4","4","1","4","4","4","4","4",
"HOMER_QUIZ_1036977","","MULTICHOICE","3","1","3","1","3","3","3","3","3","2","3","3","3","3","2","3","1","3","3","2","2","2","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","1","3","1","3","3","3","3","3","3","1","3","3","3","1","3","3","1","1","2","3","3","3","3","3","1","3","3","3","3","1","3","3","1","3","3","3","1","1","3","3","3","3","1","3","3","3","1","3","3","1","3","1","3","1","3","1","3","3","3","3","3","1","3","3","3","2","3","3","3","3","2","3","2","2","1","2","3","2","3","3","3","3","1","3","2","3","3","3","3","3","1","3","3","3","1","3","3","2","1","3","3","3","3","3","2","3","1","3","2","3","2",
"HOMER_QUIZ_1036978","","MULTICHOICE","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
"HOMER_QUIZ_1036979","","MULTICHOICE","1","1","1","1","1","1","5","1","1","1","1","1","1","1","1","1","1","1","1","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"HOMER_QUIZ_1036980","","MULTICHOICE","2","1","2","2","2","2","5","2","2","2","2","5","4","2","3","4","5","2","3","2","5","2","2","3","2","2","3","2","2","4","2","2","4","2","2","3","3","3","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","3","2","2","3","2","3","2","4","2","5","3","2","2","2","2","4","2","2","3","2","2","2","2","4","2","2","1","2","1","5","2","2","3","2","2","4","2","2","2","3","2","2","5","2","2","2","2","5","2","2","2","3","3","2","5","2","3","3","2","2","2","2","2","2","3","2","2","1","4","2","4","3","2","2","2","1","2","2","3","3","2","2","5","2",
"HOMER_QUIZ_1036670","","MULTICHOICE","5","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",
"HOMER_QUIZ_1036671","","MULTICHOICE","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","3","4","4","2","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4","2","4","4","4","2","3","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4",
"HOMER_QUIZ_1036672","","MULTICHOICE","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4",
"HOMER_QUIZ_1036673","","MULTICHOICE","2","1","4","2","3","4","1","2","2","2","4","4","2","4","2","2","2","4","2","4","2","4","2","2","2","2","1","4","4","3","3","4","4","1","3","2","4","4","2","2","4","4","4","4","4","2","2","4","4","2","4","2","2","2","4","4","2","4","3","4","2","4","2","4","4","3","4","3","4","2","2","4","3","2","2","4","4","3","4","3","2","4","4","4","2","2","2","4","2","4","4","3","2","4","2","4","4","3","2","1","3","2","3","2","1","2","2","2","2","4","2","4","2","4","2","4","4","2","2","4","2","4","2","4","2","4","4","4","1","3","1","4","4","2","1","4","2","4","4","2","2","2","4","4","2","2","2","4","4","3","3","4","4","1","4","4","4","3","3","4","2","4","2","4","2","1","4",
"HOMER_QUIZ_1036674","","MULTICHOICE","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",
"HOMER_QUIZ_1036675","","MULTICHOICE","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","5","1","5","5","1","1","1","1","1","1","1","1","1","1","5","1","1","4","1","1","1","1","1","1","1","1","1","5","1","1","1","1","1","1","1","1","5","5","1","1","1","4","1","1","4","1","1","1","1","1","1","1","1","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","3","5","5","1","1","1","1","1","1","1","1","1","5","1","4","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4",
"HOMER_QUIZ_1036676","","MULTICHOICE","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","1","3","3","3","2","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","4","3","3","3","3","3",
"HOMER_QUIZ_1036677","","MULTICHOICE","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"HOMER_QUIZ_1036678","","MULTICHOICE","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","1","2","1","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","1","2","2","2","1","2","2","2","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","2","1","2","2","2","2","2","2","2","2","1","2","2","2","2","1","1","2","2","2","2","1","1","2","1","2","2","2","2","2","2","2","2","1","1","1","2","2","1","2","1","2","1","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","1","2","1",
"HOMER_QUIZ_1036679","","MULTICHOICE","3","1","3","1","3","5","3","3","3","3","3","3","4","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","5","3","3","3","3","3","3","2","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","5","3","3","3","3","5","3","1","5","1","1","3","3","3","1","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"HOMER_QUIZ_1036680","","MULTICHOICE","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","4",
"HOMER_QUIZ_1036681","","MULTICHOICE","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","4","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","5","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","3","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2",
"HOMER_QUIZ_1036682","","MULTICHOICE","3","1","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","4","3","3","3","3","3","2","2","4","3","3","3","3","3","3","3","3","3","3","4","3","3","4","3","3","3","4","3","4","3","3","3","3","3","3","4","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","5","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","4","3","3","3","3","3","3","3","3",
"HOMER_QUIZ_1036683","","MULTICHOICE","4","1","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","3","4","4","4","4","4","1","4","4","4","4","4","4","4","4","3","1","4","4","4","4","4","4","4","2","4","4","4","4","3","4","1","4","4","4","4","4","3","4","4","3","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","4","2","4","4","4","4","4","4","4","2","4","2","4","4","4","4","4","1","2","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","2","5","4","3","4","4","3","4","4","4","4","4","4","4","4","4","2","3","4","4","4","3","4","3","4","3","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","4","4","2","4","4","4","4",
"HOMER_QUIZ_1036684","","MULTICHOICE","3","1","3","3","3","3","3","3","3","5","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","5","3","3","3","3","3","3","3","5","3","3","3","3","3","3","2","3","3","3","3","5","3","3","3","3","3","3","3","2","3","3","3","3","3","3","5","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","3","3","3","3","3","1","3","3","3","3","3","3","5","3","5","3","3","3","3","3","3","3","2","3","3","3","3","5","3","5","3","3","3","3","3","3",
"HOMER_QUIZ_1036685","","MULTICHOICE","5","1","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","4","5","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","1","5","5","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","4","5","5","5","5",
"HOMER_QUIZ_1036686","","MULTICHOICE","3","1","4","4","3","3","2","3","3","3","3","3","3","3","3","4","3","4","3","4","3","3","4","3","4","3","2","3","4","3","3","3","2","3","3","2","3","3","3","4","4","3","3","3","3","3","3","3","3","1","3","4","3","3","3","3","4","3","3","3","4","3","2","4","3","3","3","4","3","3","3","3","3","4","2","3","3","4","3","3","3","3","3","4","4","3","3","4","3","3","4","2","3","1","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","4","1","3","3","3","2","4","3","3","3","3","3","3","4","3","5","3","4","3","3","3","3","3","3","3","3","3","2","4","3","3","3","3","3","4","3","3","3","1","4","3","3","4","3","3","3","1","4","3","1","3","3","3","3","3",
"HOMER_QUIZ_1036687","","MULTICHOICE","4","1","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","3","4","4","3","4","2","4","4","4","4","4","4","3","3","4","4","3","4","4","3","3","3","4","4","4","4","4","4","4","1","4","4","4","3","4","4","4","2","4","4","4","4","4","3","4","4","3","4","4","4","2","4","4","4","4","4","3","4","4","4","4","3","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","3","4","3","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","4","4","4","4","4","4","4","4","4","4","3","3","4","3","4","4","4","4","3","4","4","4","4","4",
"HOMER_QUIZ_1036688","","MULTICHOICE","4","1","4","4","3","3","4","4","4","3","4","4","4","3","5","3","4","4","4","3","3","3","4","4","3","2","4","4","4","4","3","3","3","4","3","4","4","4","4","3","4","3","4","4","4","3","4","3","4","3","4","3","4","4","4","2","3","4","4","4","3","2","4","3","3","4","4","4","4","4","4","4","3","4","4","3","3","4","4","3","4","4","3","2","4","4","3","3","4","4","3","4","4","3","4","4","4","4","4","4","3","4","4","3","4","3","4","4","4","4","4","4","4","4","3","3","3","3","4","3","3","2","4","4","4","4","4","4","2","4","4","3","4","4","4","3","4","3","4","4","4","4","4","3","4","2","3","4","4","4","3","4","4","2","4","4","4","4","4","3","3","3","4","4","4","1","4",
"HOMER_QUIZ_1036689","","MULTICHOICE","4","1","4","2","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","4","4","4","1","4","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","3","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","5","4","4","4","4","5","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",
"HOMER_QUIZ_1036690","","MULTICHOICE","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","2","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"HOMER_QUIZ_1036691","","MULTICHOICE","3","1","3","3","3","3","3","3","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","5","3","3","3","3","5","3","3","3","5","3","3","3","3","3","3","3","3","5","3","3","3","3","1","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","5","5","3","5","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","5","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","5","3","3","5","3","3","3","3","3","3","3","3","3","5",
"HOMER_QUIZ_1036692","","MULTICHOICE","5","1","5","5","5","5","1","5","5","5","5","5","5","5","4","5","4","4","5","3","5","5","5","5","5","5","5","5","5","5","5","3","5","4","5","4","5","5","5","4","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","2","5","5","3","1","5","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","5","5","5","5","5","5","5",
